Id,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
18,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,GET,http://localhost:3000/1089100944457444641,404,Not Found,15,400,2
20,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,28,507,75
21,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,508,120
22,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,507,77
23,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,15,508,137
24,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,32,507,65
25,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,508,112
26,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,31,507,57
27,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,507,55
28,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,507,58
29,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,31,508,102
30,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,13,507,69
31,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,507,70
32,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,31,507,70
33,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,15,507,72
34,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,29,507,92
35,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,28,507,59
36,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,31,507,60
37,Sun May 14 13:04:10 BDT 2023,Sun May 14 13:04:10 BDT 2023,POST,http://localhost:3000/posts,201,Created,30,507,61
